country,costs,stability,sust_dev,decarb,risks,governance,env_regul,in_pot,int_coop
Côte d’Ivoire,0.0394505,0.8629847,-0.9760152,-0.0606772,-0.2628295,-0.3010224,-0.523829,-0.8867801,0.4574821
Jamaica,-0.3126899,-0.7306131,0.4443499,-0.2829505,-0.4281437,0.5200546,-0.239287,-0.2682278,-0.5778032
Japan,0.8085974,3.622303,0.7140998,-0.2613415,-0.5317611,1.112411,0.5550772,2.26006,0.8500132
Kenya,-0.4942131,-0.7636567,-0.2212779,1.144253,-0.2992223,-0.3669046,0.5793738,-0.601017,0.4574821
North Korea,-0.6393903,-1.17445,-1.416734,1.207205,-0.019278,-3.61216,0.380445,1.040482,-0.5778032
South Korea,-0.7835587,0.4495048,0.6251527,-0.3607496,-0.0835153,0.8164876,0.5186322,1.040482,0.8500132
Kuwait,-0.6993923,-0.2261391,0.2167403,-1.828524,-0.2081051,0.0090296,-0.8224064,-0.2043718,-0.5778032
Lebanon,-0.198614,-0.8607141,0.1647883,-0.9498008,0.0124839,-0.3993574,0.9485467,-0.1555887,-0.5778032
Latvia,1.256005,0.8301402,0.3450515,0.7939609,0.3367128,0.9105791,0.8857804,1.202974,-0.5778032
Liberia,0.3171211,-0.8570507,-1.807437,-1.867754,0.2233196,-0.9005465,-0.3803436,-0.8867801,0.4574821
Libya,-0.0425239,-0.7476792,-0.4287636,-1.251232,0.6029034,-0.532237,-0.6437379,-0.707818,0.4574821
Lithuania,1.30887,0.2900735,0.6442741,0.4677467,0.3535713,0.9860289,0.8857804,1.202974,-0.5778032
Madagascar,-0.6531318,-0.7663141,-1.544977,-0.5694025,-0.2780767,-0.5224665,-0.2467121,-0.601017,0.4574821
Malaysia,-0.2375673,0.2053978,0.2371228,-0.5804704,-0.3262782,0.6137681,0.1541825,-0.1780893,-0.5778032
Mauritania,0.1391552,-0.5302553,-0.6709503,-0.975095,-0.1979794,-0.5732063,-1.621901,-0.8867801,0.4574821
Mauritius,-0.4562458,-0.2661102,0.4577851,-0.5104873,-0.4127907,0.9760787,-0.173458,-0.601017,0.4574821
Mexico,-0.4916921,-0.5595782,0.4887713,-0.1382345,-0.2520776,0.2456643,0.3121107,-0.4002112,1.885298
Morocco,0.248863,1.254957,0.5508718,-0.1199315,-0.1563543,-0.0070506,-0.1425078,-0.707818,1.885298
Mozambique,-0.5644013,-0.7761726,-1.605545,1.347884,-0.1294807,-0.5488083,-1.910759,-0.601017,-0.5778032
Oman,-0.7099329,0.8099634,0.2340531,-0.9769338,0.9237695,0.3894357,0.0084027,-0.2043718,-0.5778032
Namibia,-0.8065799,-0.6145679,0.0608882,1.485363,0.0629155,0.3593559,-0.1229344,-0.3800317,-0.5778032
Netherlands,1.726892,0.545838,1.337639,-0.0794028,-0.4547037,1.410329,0.4578906,1.945914,-0.5778032
New Zealand,-0.9575799,0.5358534,0.4972583,0.971529,-0.3359925,1.757034,-0.4215118,1.040837,-0.5778032
Nicaragua,-0.2104033,-0.6463766,0.0537326,0.4676975,-0.3734256,-0.292605,0.0691443,-0.4002112,0.4574821
Nigeria,-0.2093982,-0.9070227,-1.255087,0.0735568,-0.3719927,-0.6110008,0.433594,-0.8867801,1.885298
Norway,1.725734,0.0911899,0.7330244,0.757057,0.0512814,1.131752,1.082178,1.642022,-0.5778032
Pakistan,-0.5740703,-0.7885703,-0.6030059,0.4562915,-0.1317746,-0.7275827,-0.5598665,-0.6072944,-0.5778032
Panama,-0.0979361,0.1075463,0.2261186,0.8267888,-0.2042657,0.3123421,0.3121107,-0.4002112,0.4574821
Papua New Guinea,-0.4529997,-0.6353346,-1.29436,-0.8737917,1.844903,-0.4501467,-2.068687,-0.0229813,-0.5778032
Peru,-0.614261,-0.2248081,0.0239467,0.6314408,-0.2403342,0.3988971,-0.0280423,-0.3523345,0.4574821
Philippines,-0.498533,-0.2923721,-0.3223172,-0.1264147,-0.6016346,-0.0923776,0.2513691,-0.2756555,-0.5778032
Poland,1.277146,0.3198236,0.6489415,-0.525303,0.0462939,0.7531713,0.4504655,0.2640921,-0.5778032
Portugal,0.2454865,1.623693,0.6917477,0.4201118,-0.0930839,0.7087545,0.8270635,0.214888,-0.5778032
Timor-Leste,-0.8185591,-0.5849076,-1.036491,-1.923263,-0.4492522,-0.3426164,-0.8992608,-0.2756555,-0.5778032
Qatar,-0.709496,2.120595,0.1958341,-1.678217,3.534396,0.4384845,-0.1738222,-0.2043718,-0.5778032
Romania,0.5622684,-0.2255417,0.3119447,0.2472311,-0.2629647,0.2898775,0.5962453,0.215309,-0.5778032
