country,costs,stability,sust_dev,decarb,risks,governance,env_regul,in_pot,int_coop
Lebanon,0.2945493,0.0654059,0.6487258,0.2810217,0.0796351,0.5777966,0.9633333,0.2262187,0
Latvia,0.5560035,0.4179056,0.7021936,0.7869024,0.1172035,0.8218736,0.9461111,0.6037071,0
Liberia,0.3673811,0.0661696,0.0082908,0.0172458,0.1002932,0.4892735,0.61,0.0295505,0.5
Libya,0.3444832,0.0889708,0.4645194,0.1782022,0.1501393,0.5251331,0.42,0.0792922,0.5
Lithuania,0.5714038,0.3053156,0.770063,0.6968089,0.1197473,0.8398551,0.9461111,0.6037071,0
Madagascar,0.1805889,0.0850859,0.0753108,0.4206188,0.0448551,0.5569404,0.6466666,0.1099022,0.5
Malaysia,0.2232378,0.2876629,0.6732853,0.3901312,0.0386092,0.7554114,0.7566667,0.2146557,0
Mauritania,0.3726421,0.1342981,0.3438067,0.2945779,0.0544276,0.5394819,0.1666667,0.0295505,0.5
Mauritius,0.2001285,0.1893656,0.7235026,0.4186634,0.0288307,0.8375862,0.673718,0.1099022,0.5
Mexico,0.2188033,0.128185,0.7143642,0.5154797,0.0480403,0.6921451,0.8,0.1641384,1
Morocco,0.4097027,0.5064691,0.7425064,0.5159202,0.0594811,0.6540638,0.55,0.0792922,1
Mozambique,0.1877753,0.0830306,0.067334,0.9398564,0.0616868,0.5540919,0.11,0.1099022,0
Oman,0.1854401,0.4136993,0.6770171,0.2507721,0.1884258,0.7222116,0.7166667,0.2166033,0
Namibia,0.1695986,0.1167211,0.5200799,0.9765062,0.0840466,0.7149925,0.5666667,0.1715299,0
Netherlands,0.6722256,0.3586359,0.9273314,0.5309754,0.0238065,0.9324536,0.84,0.7797572,0
New Zealand,0.0900546,0.3565544,0.736717,0.8393782,0.0378258,0.9817443,0.61,0.5442998,0
Nicaragua,0.2533996,0.1100897,0.5567633,0.69734,0.032901,0.5951656,0.7333333,0.1641384,0.5
Nigeria,0.2640016,0.0557517,0.1770545,0.5720035,0.0336154,0.522291,0.8333333,0.0295505,1
Norway,0.6596593,0.2638535,0.7901933,0.783649,0.083376,0.8862566,1,0.6902455,0
